,Gateway,ROOM, ADDRESS,BACnet reading number,Title
0,1,COMEDOR,101,1,Planta S
1,1,LAVAPLATOS,102,2,Planta S
2,1,COCINA,103,3,Planta S
3,1,10,104,4,Planta B
4,1,11A,105,5,Planta B
5,1,11B,106,6,Planta B
6,1,12A,107,7,Planta B
7,1,12B,108,8,Planta B
8,1,13A,109,9,Planta B
9,1,13B,110,10,Planta B
10,1,13C,111,11,Planta B
11,1,13D,112,12,Planta B
12,1,13E,113,13,Planta B
13,1,13F,114,14,Planta B
14,1,13G,115,15,Planta B
15,1,CLUSTER ESTE P0,116,16,Planta B
16,1,14A,117,17,Planta B
17,1,14B,118,18,Planta B
18,1,115A,119,19,Planta 1
19,1,115B,120,20,Planta 1
20,1,116A,121,21,Planta 1
21,1,116B,122,22,Planta 1
22,1,116C,123,23,Planta 1
23,1,116D,124,24,Planta 1
24,1,116E,125,25,Planta 1
25,1,116F,126,26,Planta 1
26,1,116G,127,27,Planta 1
27,1,117A,128,28,Planta 1
28,1,117B,129,29,Planta 1
29,1,118A,130,30,Planta 1
30,1,118B,131,31,Planta 1
31,1,119,132,32,Planta 1
32,1,CLUSTER ESTE P1,133,33,Planta 1
33,1,CLUSTER SURESTE P1,134,34,Planta 1
34,1,123E,135,35,Planta 1
35,1,123F,136,36,Planta 1
36,1,123G,137,37,Planta 1
37,1,124A,138,38,Planta 1
38,1,124B,139,39,Planta 1
39,1,125A,140,40,Planta 1
40,1,125B,141,41,Planta 1
41,1,CLUSTER SURESTE P2,142,42,Planta 2
42,1,223E,143,43,Planta 2
43,1,223F,144,44,Planta 2
44,1,223G,145,45,Planta 2
45,1,224A,146,46,Planta 2
46,1,224B,147,47,Planta 2
47,1,225A,148,48,Planta 2
48,1,225B,149,49,Planta 2
49,1,CLUSTER SURESTE P3,150,50,Planta 3
50,1,318E,151,51,Planta 3
51,1,318F,152,52,Planta 3
52,1,318G,153,53,Planta 3
53,1,319A,154,54,Planta 3
54,1,319B,155,55,Planta 3
55,1,320A,156,56,Planta 3
56,1,320B,157,57,Planta 3
57,2,120A,201,1,Planta 1
58,2,120B,202,2,Planta 1
59,2,121A,203,3,Planta 1
60,2,121B,204,4,Planta 1
61,2,122A,205,5,Planta 1
62,2,122B,206,6,Planta 1
63,2,123A,207,7,Planta 1
64,2,123B,208,8,Planta 1
65,2,123C,209,9,Planta 1
66,2,123D,210,10,Planta 1
67,2,CLUSTER NORTE P1,211,11,Planta 1
68,2,220A,212,12,Planta 2
69,2,220B,213,13,Planta 2
70,2,221A,214,14,Planta 2
71,2,221B,215,15,Planta 2
72,2,222A,216,16,Planta 2
73,2,222B,217,17,Planta 2
74,2,223A,218,18,Planta 2
75,2,223B,219,19,Planta 2
76,2,223C,220,20,Planta 2
77,2,223D,221,21,Planta 2
78,2,CLUSTER NORTE P2,222,22,Planta 2
79,2,313A,223,23,Planta 3
80,2,313B,224,24,Planta 3
81,2,314,225,25,Planta 3
82,2,315A,226,26,Planta 3
83,2,315B,227,27,Planta 3
84,2,316A,228,28,Planta 3
85,2,316B,229,29,Planta 3
86,2,317A,230,30,Planta 3
87,2,317B,231,31,Planta 3
88,2,318A,232,32,Planta 3
89,2,318B,233,33,Planta 3
90,2,318C,234,34,Planta 3
91,2,318D,235,35,Planta 3
92,2,CLUSTER NORTE P3,236,36,Planta 3
93,2,215A,237,37,Planta 2
94,2,215B,238,38,Planta 2
95,2,216A,239,39,Planta 2
96,2,216B,240,40,Planta 2
97,2,216C,241,41,Planta 2
98,2,216D,242,42,Planta 2
99,2,216E,243,43,Planta 2
100,2,216F,244,44,Planta 2
101,2,216G,245,45,Planta 2
102,2,CLUSTER ESTE P2,246,46,Planta 2
103,2,217A,247,47,Planta 2
104,2,217B,248,48,Planta 2
105,2,218A,249,49,Planta 2
106,2,218B,250,50,Planta 2
107,2,219,251,51,Planta 2
108,3,1,301,1,Planta B
109,3,002A,302,2,Planta B
110,3,002B,303,3,Planta B
111,3,3,304,4,Planta B
112,3,004A,305,5,Planta B
113,3,004B,306,6,Planta B
114,3,004C,307,7,Planta B
115,3,004D,308,8,Planta B
116,3,004E,309,9,Planta B
117,3,004F,310,10,Planta B
118,3,004G,311,11,Planta B
119,3,CLUSTER OESTE P0,312,12,Planta B
120,3,5,313,13,Planta B
121,3,006A,314,14,Planta B
122,3,006B,315,15,Planta B
123,3,007A,316,16,Planta B
124,3,007B,317,17,Planta B
125,3,008A,318,18,Planta B
126,3,008B,319,19,Planta B
127,3,009A,320,20,Planta B
128,3,009B,321,21,Planta B
129,3,SALA ESTUDIO,322,22,Planta B
130,3,LOOBY 1,323,23,Planta B
131,3,LOOBY 2,324,24,Planta B
132,3,LOOBY 3,325,25,Planta B
133,3,LOOBY 4,326,26,Planta B
134,3,DIRECCIÓN,327,27,Planta B
135,3,101,328,28,Planta 1
136,3,102A,329,29,Planta 1
137,3,102B,330,30,Planta 1
138,3,103A,331,31,Planta 1
139,3,103B,332,32,Planta 1
140,3,103C,333,33,Planta 1
141,3,103D,334,34,Planta 1
142,3,103E,335,35,Planta 1
143,3,103F,336,36,Planta 1
144,3,103G,337,37,Planta 1
145,3,CLUSTER OESTE P1,338,38,Planta 1
146,3,104A,339,39,Planta 1
147,3,104B,340,40,Planta 1
148,3,105A,341,41,Planta 1
149,3,105B,342,42,Planta 1
150,3,106A,343,43,Planta 1
151,3,106B,344,44,Planta 1
152,4,201,401,1,Planta 2
153,4,202,402,2,Planta 2
154,4,203A,403,3,Planta 2
155,4,203B,404,4,Planta 2
156,4,203C,405,5,Planta 2
157,4,203D,406,6,Planta 2
158,4,203E,407,7,Planta 2
159,4,203F,408,8,Planta 2
160,4,203G,409,9,Planta 2
161,4,CLUSTER OESTE P2,410,10,Planta 2
162,4,204,411,11,Planta 2
163,4,205A,412,12,Planta 2
164,4,205B,413,13,Planta 2
165,4,206A,414,14,Planta 2
166,4,206B,415,15,Planta 2
167,4,301,416,16,Planta 3
168,4,302A,417,17,Planta 3
169,4,302B,418,18,Planta 3
170,4,302C,419,19,Planta 3
171,4,302D,420,20,Planta 3
172,4,302E,421,21,Planta 3
173,4,302F,422,22,Planta 3
174,4,302G,423,23,Planta 3
175,4,CLUSTER OESTE P3,424,24,Planta 3
176,4,303A,425,25,Planta 3
177,4,303B,426,26,Planta 3
178,4,304A,427,27,Planta 3
179,4,304B,428,28,Planta 3
180,4,112A,429,29,Planta 1
181,4,112B,430,30,Planta 1
182,4,112C,431,31,Planta 1
183,4,112D,432,32,Planta 1
184,4,113A,433,33,Planta 1
185,4,113B,434,34,Planta 1
186,4,114A,435,35,Planta 1
187,4,114B,436,36,Planta 1
188,4,212A,437,37,Planta 2
189,4,212B,438,38,Planta 2
190,4,212C,439,39,Planta 2
191,4,212D,440,40,Planta 2
192,4,213A,441,41,Planta 2
193,4,213B,442,42,Planta 2
194,4,214A,443,43,Planta 2
195,4,214B,444,44,Planta 2
196,4,310A,445,45,Planta 3
197,4,310B,446,46,Planta 3
198,4,310C,447,47,Planta 3
199,4,310D,448,48,Planta 3
200,4,311A,449,49,Planta 3
201,4,311B,450,50,Planta 3
202,4,312A,451,51,Planta 3
203,4,312B,452,52,Planta 3
204,5,401,501,1,Planta 4
205,5,402A,502,2,Planta 4
206,5,402B,503,3,Planta 4
207,5,402C,504,4,Planta 4
208,5,402D,505,5,Planta 4
209,5,402E,506,6,Planta 4
210,5,402F,507,7,Planta 4
211,5,402G,508,8,Planta 4
212,5,CLUSTER OESTE P4,509,9,Planta 4
213,5,403A,510,10,Planta 4
214,5,403B,511,11,Planta 4
215,5,403C,512,12,Planta 4
216,5,403D,513,13,Planta 4
217,5,403E,514,14,Planta 4
218,5,404,515,15,Planta 4
219,5,CLUSTER NOROESTE P4,516,16,Planta 4
220,5,107,517,17,Planta 1
221,5,108,518,18,Planta 1
222,5,109A,519,19,Planta 1
223,5,109B,520,20,Planta 1
224,5,110A,521,21,Planta 1
225,5,110B,522,22,Planta 1
226,5,111A,523,23,Planta 1
227,5,111B,524,24,Planta 1
228,5,112E,525,25,Planta 1
229,5,112F,526,26,Planta 1
230,5,112G,527,27,Planta 1
231,5,207,528,28,Planta 2
232,5,208,529,29,Planta 2
233,5,209A,530,30,Planta 2
234,5,209B,531,31,Planta 2
235,5,210A,532,32,Planta 2
236,5,210B,533,33,Planta 2
237,5,211A,534,34,Planta 2
238,5,211B,535,35,Planta 2
239,5,212E,536,36,Planta 2
240,5,212F,537,37,Planta 2
241,5,212G,538,38,Planta 2
242,5,305,539,39,Planta 3
243,5,306,540,40,Planta 3
244,5,307A,541,41,Planta 3
245,5,307B,542,42,Planta 3
246,5,308A,543,43,Planta 3
247,5,308B,544,44,Planta 3
248,5,309A,545,45,Planta 3
249,5,309B,546,46,Planta 3
250,5,310E,547,47,Planta 3
251,5,310F,548,48,Planta 3
252,5,310G,549,49,Planta 3
