Gateway,ROOM, ADDRESS,BACnet reading number
1,801A,PEFY-P20VMA-E,101
1,801B,PEFY-P20VMA-E,102
1,810A,PEFY-P20VMA-E,103
1,810B,PEFY-P20VMA-E,104
1,811B,PEFY-P20VMA-E,105
1,811D,PEFY-P20VMA-E,106
1,811E,PEFY-P20VMA-E,107
1,811F,PEFY-P20VMA-E,108
1,823F,PEFY-P20VMA-E,109
1,823E,PEFY-P20VMA-E,110
1,823D,PEFY-P20VMA-E,111
1,823B,PEFY-P20VMA-E,112
1,822A,PEFY-P20VMA-E,113
1,822B,PEFY-P20VMA-E,114
1,812A,PEFY-P20VMA-E,115
1,812B,PEFY-P20VMA-E,116
1,814,PEFY-P20VMA-E,117
1,816,PEFY-P20VMA-E,118
1,818,PEFY-P20VMA-E,119
1,APART.823,PEFY-P50VMA-E,120
1,823C,PEFY-P20VMA-E,121
1,823A,PEFY-P20VMA-E,122
1,821B,PEFY-P20VMA-E,123
1,821A,PEFY-P20VMA-E,124
1,813B,PEFY-P20VMA-E,125
1,813A,PEFY-P20VMA-E,126
1,815,PEFY-P20VMA-E,127
1,817,PEFY-P20VMA-E,128
1,819,PEFY-P20VMA-E,129
1,820,PEFY-P50VMA-E,130
1,APART 811,PEFY-P50VMA-E,131
1,811C,PEFY-P20VMA-E,132
1,811A,PEFY-P20VMA-E,133
1,809,PEFY-P32VMA-E,134
1,805,PEFY-P20VMA-E,135
1,802,PEFY-P20VMA-E,136
1,803,PEFY-P20VMA-E,137
1,804,PEFY-P20VMA-E,138
1,806,PEFY-P20VMA-E,139
1,807,PEFY-P20VMA-E,140
1,808,PEFY-P20VMA-E,141
1,LOBBY1,PEFY-P63VMA-E,142
1,LOBBY2,PEFY-P63VMA-E,143
1,LOBBY3,PEFY-P63VMA-E,144
1,LOBBY4,PEFY-P63VMA-E,145
2,701A,PEFY-P20VMA-E,101
2,701B,PEFY-P20VMA-E,102
2,810A,PEFY-P20VMA-E,103
2,710B,PEFY-P20VMA-E,104
2,711B,PEFY-P20VMA-E,105
2,711D,PEFY-P20VMA-E,106
2,711E,PEFY-P20VMA-E,107
2,711F,PEFY-P20VMA-E,108
2,723F,PEFY-P20VMA-E,109
2,723E,PEFY-P20VMA-E,110
2,723D,PEFY-P20VMA-E,111
2,723B,PEFY-P20VMA-E,112
2,722A,PEFY-P20VMA-E,113
2,722B,PEFY-P20VMA-E,114
2,712A,PEFY-P20VMA-E,115
2,712B,PEFY-P20VMA-E,116
2,714,PEFY-P20VMA-E,117
2,716,PEFY-P20VMA-E,118
2,718,PEFY-P20VMA-E,119
2,APART.723,PEFY-P50VMA-E,120
2,723C,PEFY-P20VMA-E,121
2,723A,PEFY-P20VMA-E,122
2,721B,PEFY-P20VMA-E,123
2,721A,PEFY-P20VMA-E,124
2,713B,PEFY-P20VMA-E,125
2,713A,PEFY-P20VMA-E,126
2,715,PEFY-P20VMA-E,127
2,717,PEFY-P20VMA-E,128
2,719,PEFY-P20VMA-E,129
2,720,PEFY-P50VMA-E,130
2,APART 711,PEFY-P50VMA-E,131
2,711C,PEFY-P20VMA-E,132
2,711A,PEFY-P20VMA-E,133
2,709,PEFY-P32VMA-E,134
2,705,PEFY-P20VMA-E,135
2,702,PEFY-P20VMA-E,136
2,703,PEFY-P20VMA-E,137
2,704,PEFY-P20VMA-E,138
2,706,PEFY-P20VMA-E,139
2,707,PEFY-P20VMA-E,140
2,708,PEFY-P20VMA-E,141
3,601A,PEFY-P20VMA-E,101
3,601B,PEFY-P20VMA-E,102
3,610A,PEFY-P20VMA-E,103
3,610B,PEFY-P20VMA-E,104
3,611B,PEFY-P20VMA-E,105
3,611D,PEFY-P20VMA-E,106
3,611E,PEFY-P20VMA-E,107
3,611F,PEFY-P20VMA-E,108
3,623F,PEFY-P20VMA-E,109
3,623E,PEFY-P20VMA-E,110
