,Gateway,ROOM, ADDRESS,BACnet reading number,Title,Group,,
0,1,801A,PEFY-P20VMA-E,101,Planta 8,Test,,
1,1,801B,PEFY-P20VMA-E,102,Planta 8,Test,,
2,1,810A,PEFY-P20VMA-E,103,Planta 8,Test,,
3,1,810B,PEFY-P20VMA-E,104,Planta 8,Test,,
4,1,811B,PEFY-P20VMA-E,105,Planta 8,Test,,
5,1,811D,PEFY-P20VMA-E,106,Planta 8,Test,,
6,1,811E,PEFY-P20VMA-E,107,Planta 8,Test,,
7,1,811F,PEFY-P20VMA-E,108,Planta 8,Test,,
8,1,823F,PEFY-P20VMA-E,109,Planta 8,Control,,
9,1,823E,PEFY-P20VMA-E,110,Planta 8,Control,,
10,1,823D,PEFY-P20VMA-E,111,Planta 8,Control,,
11,1,823B,PEFY-P20VMA-E,112,Planta 8,Control,,
12,1,822A,PEFY-P20VMA-E,113,Planta 8,Control,,
13,1,822B,PEFY-P20VMA-E,114,Planta 8,Control,,
14,1,812A,PEFY-P20VMA-E,115,Planta 8,Control,,
15,1,812B,PEFY-P20VMA-E,116,Planta 8,Control,,
16,1,814,PEFY-P20VMA-E,117,Planta 8,Control,,
17,1,816,PEFY-P20VMA-E,118,Planta 8,Control,,
18,1,818,PEFY-P20VMA-E,119,Planta 8,Control,,
19,1,APART.823,PEFY-P50VMA-E,120,Planta 8,Control,,
20,1,823C,PEFY-P20VMA-E,121,Planta 8,Control,,
21,1,823A,PEFY-P20VMA-E,122,Planta 8,Control,,
22,1,821B,PEFY-P20VMA-E,123,Planta 8,Control,,
23,1,821A,PEFY-P20VMA-E,124,Planta 8,Control,,
24,1,813B,PEFY-P20VMA-E,125,Planta 8,Control,,
25,1,813A,PEFY-P20VMA-E,126,Planta 8,Control,,
26,1,815,PEFY-P20VMA-E,127,Planta 8,Control,,
27,1,817,PEFY-P20VMA-E,128,Planta 8,Control,,
28,1,819,PEFY-P20VMA-E,129,Planta 8,Control,,
29,1,820,PEFY-P50VMA-E,130,Planta 8,Control,,
30,1,APART 811,PEFY-P50VMA-E,131,Planta 8,Test,,
31,1,811C,PEFY-P20VMA-E,132,Planta 8,Test,,
32,1,811A,PEFY-P20VMA-E,133,Planta 8,Test,,
33,1,809,PEFY-P32VMA-E,134,Planta 8,Test,,
34,1,805,PEFY-P20VMA-E,135,Planta 8,Test,,
35,1,802,PEFY-P20VMA-E,136,Planta 8,Test,,
36,1,803,PEFY-P20VMA-E,137,Planta 8,Test,,
37,1,804,PEFY-P20VMA-E,138,Planta 8,Test,,
38,1,806,PEFY-P20VMA-E,139,Planta 8,Test,,
39,1,807,PEFY-P20VMA-E,140,Planta 8,Test,,
40,1,808,PEFY-P20VMA-E,141,Planta 8,Test,,
41,1,LOBBY1,PEFY-P63VMA-E,142,Planta 9,,,
42,1,LOBBY2,PEFY-P63VMA-E,143,Planta 9,,,
43,1,LOBBY3,PEFY-P63VMA-E,144,Planta 9,,,
44,1,LOBBY4,PEFY-P63VMA-E,145,Planta 9,,,
45,2,701A,PEFY-P20VMA-E,101,Planta 7,Test,,
46,2,701B,PEFY-P20VMA-E,102,Planta 7,Test,,
47,2,710A,PEFY-P20VMA-E,103,Planta 7,Test,,
48,2,710B,PEFY-P20VMA-E,104,Planta 7,Test,,
49,2,711B,PEFY-P20VMA-E,105,Planta 7,Test,,
50,2,711D,PEFY-P20VMA-E,106,Planta 7,Test,,
51,2,711E,PEFY-P20VMA-E,107,Planta 7,Test,,
52,2,711F,PEFY-P20VMA-E,108,Planta 7,Test,,
53,2,723F,PEFY-P20VMA-E,109,Planta 7,Control,,
54,2,723E,PEFY-P20VMA-E,110,Planta 7,Control,,
55,2,723D,PEFY-P20VMA-E,111,Planta 7,Control,,
56,2,723B,PEFY-P20VMA-E,112,Planta 7,Control,,
57,2,722A,PEFY-P20VMA-E,113,Planta 7,Control,,
58,2,722B,PEFY-P20VMA-E,114,Planta 7,Control,,
59,2,712A,PEFY-P20VMA-E,115,Planta 7,Control,,
60,2,712B,PEFY-P20VMA-E,116,Planta 7,Control,,
61,2,714,PEFY-P20VMA-E,117,Planta 7,Control,,
62,2,716,PEFY-P20VMA-E,118,Planta 7,Control,,
63,2,718,PEFY-P20VMA-E,119,Planta 7,Control,,
64,2,APART.723,PEFY-P50VMA-E,120,Planta 7,Control,,
65,2,723C,PEFY-P20VMA-E,121,Planta 7,Control,,
66,2,723A,PEFY-P20VMA-E,122,Planta 7,Control,,
67,2,721B,PEFY-P20VMA-E,123,Planta 7,Control,,
68,2,721A,PEFY-P20VMA-E,124,Planta 7,Control,,
69,2,713B,PEFY-P20VMA-E,125,Planta 7,Control,,
70,2,713A,PEFY-P20VMA-E,126,Planta 7,Control,,
71,2,715,PEFY-P20VMA-E,127,Planta 7,Control,,
72,2,717,PEFY-P20VMA-E,128,Planta 7,Control,,
73,2,719,PEFY-P20VMA-E,129,Planta 7,Control,,
74,2,720,PEFY-P50VMA-E,130,Planta 7,Control,,
75,2,APART 711,PEFY-P50VMA-E,131,Planta 7,Test,,
76,2,711C,PEFY-P20VMA-E,132,Planta 7,Test,,
77,2,711A,PEFY-P20VMA-E,133,Planta 7,Test,,
78,2,709,PEFY-P32VMA-E,134,Planta 7,Test,,
79,2,705,PEFY-P20VMA-E,135,Planta 7,Test,,
80,2,702,PEFY-P20VMA-E,136,Planta 7,Test,,
81,2,703,PEFY-P20VMA-E,137,Planta 7,Test,,
82,2,704,PEFY-P20VMA-E,138,Planta 7,Test,,
83,2,706,PEFY-P20VMA-E,139,Planta 7,Test,,
84,2,707,PEFY-P20VMA-E,140,Planta 7,Test,,
85,2,708,PEFY-P20VMA-E,141,Planta 7,Test,,
86,3,601A,PEFY-P20VMA-E,101,Planta 6,Test,,
87,3,601B,PEFY-P20VMA-E,102,Planta 6,Test,,
88,3,610A,PEFY-P20VMA-E,103,Planta 6,Test,,
89,3,610B,PEFY-P20VMA-E,104,Planta 6,Test,,
90,3,611B,PEFY-P20VMA-E,105,Planta 6,Test,,
91,3,611D,PEFY-P20VMA-E,106,Planta 6,Test,,
92,3,611E,PEFY-P20VMA-E,107,Planta 6,Test,,
93,3,611F,PEFY-P20VMA-E,108,Planta 6,Test,,
94,3,623F,PEFY-P20VMA-E,109,Planta 6,Control,,
95,3,623E,PEFY-P20VMA-E,110,Planta 6,Control,,
96,3,623D,PEFY-P20VMA-E,111,Planta 6,Control,,
97,3,623B,PEFY-P20VMA-E,112,Planta 6,Control,,
98,3,622A,PEFY-P20VMA-E,113,Planta 6,Control,,
99,3,622B,PEFY-P20VMA-E,114,Planta 6,Control,,
100,3,APART 623,PEFY-P20VMA-E,115,Planta 6,Control,,
101,3,623C,PEFY-P20VMA-E,116,Planta 6,Control,,
102,3,623A,PEFY-P20VMA-E,117,Planta 6,Control,,
103,3,621B,PEFY-P20VMA-E,118,Planta 6,Control,,
104,3,621A,PEFY-P20VMA-E,119,Planta 6,Control,,
105,3,613B,PEFY-P20VMA-E,120,Planta 6,Control,,
106,3,613A,PEFY-P20VMA-E,121,Planta 6,Control,,
107,3,615,PEFY-P20VMA-E,122,Planta 6,Control,,
108,3,617,PEFY-P20VMA-E,123,Planta 6,Control,,
109,3,619,PEFY-P20VMA-E,124,Planta 6,Control,,
110,3,620,PEFY-P50VMA-E,125,Planta 6,Control,,
111,3,APART 611,PEFY-P50VMA-E,126,Planta 6,Test,,
112,3,611C,PEFY-P20VMA-E,127,Planta 6,Test,,
113,3,611A,PEFY-P20VMA-E,128,Planta 6,Test,,
114,3,609,PEFY-P32VMA-E,129,Planta 6,Test,,
115,3,605,PEFY-P20VMA-E,130,Planta 6,Test,,
