,Gateway,ROOM, ADDRESS,BACnet reading number,Title
0,1,801A,PEFY-P20VMA-E,101,Control
1,1,811D,PEFY-P20VMA-E,106,Test
2,1,811F,PEFY-P20VMA-E,108,Control
3,1,823B,PEFY-P20VMA-E,112,Test
4,1,812A,PEFY-P20VMA-E,115,Control
5,1,821B,PEFY-P20VMA-E,123,Test
6,1,815,PEFY-P20VMA-E,127,Control
7,1,811A,PEFY-P20VMA-E,133,Test
8,1,805,PEFY-P20VMA-E,135,Control
9,1,808,PEFY-P20VMA-E,141,Test
10,2,701A,PEFY-P20VMA-E,101,Control
11,2,723E,PEFY-P20VMA-E,110,Test
12,2,723B,PEFY-P20VMA-E,112,Control
13,2,722B,PEFY-P20VMA-E,114,Test
14,2,714,PEFY-P20VMA-E,117,Control
15,2,721B,PEFY-P20VMA-E,123,Test
16,2,721A,PEFY-P20VMA-E,124,Control
17,2,713B,PEFY-P20VMA-E,125,Test
18,2,715,PEFY-P20VMA-E,127,Control
19,2,717,PEFY-P20VMA-E,128,Test
20,2,719,PEFY-P20VMA-E,129,Control
21,2,711A,PEFY-P20VMA-E,133,Test
22,2,705,PEFY-P20VMA-E,135,Control
23,2,704,PEFY-P20VMA-E,138,Test
24,3,623E,PEFY-P20VMA-E,110,Control
25,3,622A,PEFY-P20VMA-E,113,Test
26,3,622B,PEFY-P20VMA-E,114,Control
27,3,623C,PEFY-P20VMA-E,116,Test
28,3,621A,PEFY-P20VMA-E,119,Control
29,3,613B,PEFY-P20VMA-E,120,Test
30,3,615,PEFY-P20VMA-E,122,Control
31,3,619,PEFY-P20VMA-E,124,Test
32,3,APART 611,PEFY-P50VMA-E,126,Control
33,3,606,PEFY-P20VMA-E,134,Test
34,3,608,PEFY-P20VMA-E,136,Control
35,3,511D,PEFY-P20VMA-E,142,Test
36,3,523E,PEFY-P20VMA-E,146,Control
37,4,523A,PEFY-P20VMA-E,103,Test
38,4,508,PEFY-P20VMA-E,122,Control
39,4,423A,PEFY-P20VMA-E,125,Test
40,4,420,PEFY-P50VMA-E,133,Control
41,4,405,PEFY-P20VMA-E,138,Test
42,4,402,PEFY-P20VMA-E,139,Control
43,4,406,PEFY-P20VMA-E,142,Test
44,4,407,PEFY-P20VMA-E,143,Control
45,5,401B,PEFY-P20VMA-E,102,Test
46,5,410A,PEFY-P20VMA-E,103,Control
47,5,411E,PEFY-P20VMA-E,107,Test
48,5,423D,PEFY-P20VMA-E,111,Control
49,5,423B,PEFY-P20VMA-E,112,Test
50,5,422B,PEFY-P20VMA-E,114,Control
51,5,310A,PEFY-P20VMA-E,117,Test
52,5,323D,PEFY-P20VMA-E,125,Control
53,5,323C,PEFY-P20VMA-E,130,Test
54,5,319,PEFY-P20VMA-E,138,Control
55,5,320,PEFY-P50VMA-E,139,Test
56,5,311A,PEFY-P20VMA-E,142,Control
57,5,305,PEFY-P20VMA-E,144,Test
58,5,303,PEFY-P20VMA-E,146,Control
59,5,308,PEFY-P20VMA-E,150,Test
60,6,223C,PEFY-P20VMA-E,116,Control
61,6,221B,PEFY-P20VMA-E,118,Test
62,6,213A,PEFY-P20VMA-E,121,Control
63,6,220,PEFY-P50VMA-E,125,Test
64,6,211A,PEFY-P20VMA-E,128,Control
65,6,204,PEFY-P20VMA-E,133,Test
66,6,102,PEFY-P20VMA-E,142,Control
67,6,103,PEFY-P20VMA-E,143,Test
68,6,106,PEFY-P20VMA-E,145,Control
69,7,121A,PEFY-P20VMA-E,135,Test
70,7,113B,PEFY-P20VMA-E,136,Control
71,7,120,PEFY-P50VMA-E,141,Test
72,8,112B,PEFY-P20VMA-E,102,Control
73,8,312A,PEFY-P20VMA-E,111,Test
74,8,414,PEFY-P20VMA-E,118,Control
75,8,612B,PEFY-P20VMA-E,127,Test
76,8,110B,PEFY-P20VMA-E,134,Control
77,8,111E,PEFY-P20VMA-E,137,Test
78,8,123B,PEFY-P20VMA-E,142,Control
79,8,122A,PEFY-P20VMA-E,143,Test
